KD_KPP,NAMA_KANTOR,NAMA_KANWIL,WP_BENDAHARA,WP_BADAN,WP_OP_KARYAWAN,WP_OP_PENGUSAHA,JUMLAH_FPP,JUMLAH_AR,REALISASI_ANGGARAN,KEPATUHAN_SPT,CAPAIAN_PENERIMAAN,PERTUMBUHAN_PENERIMAAN,SP2DK_TERBIT,SP2DK_CAIR,PEMERIKSAAN_SELESAI
58,KPP Penanaman Modal Asing Lima,KANTOR WILAYAH DJP JAKARTA KHUSUS,1,705,0,0,42,32,10959085159,100.0,115.17,6.66,482,380,458
59,KPP Penanaman Modal Asing Enam,KANTOR WILAYAH DJP JAKARTA KHUSUS,1,722,0,0,35,33,11116947937,100.0,117.97,22.48,492,308,311
61,KPP Pratama Jakarta Pancoran,KANTOR WILAYAH DJP JAKARTA SELATAN I,51,7518,27068,4340,21,33,9269160511,107.3,130.33,46.65,758,1818,301
62,KPP Madya Jakarta Selatan I,KANTOR WILAYAH DJP JAKARTA SELATAN I,1,1669,184,47,30,36,8595237637,99.92999999999999,109.59,12.58,605,430,437
63,KPP Pratama Jakarta Setiabudi Tiga,KANTOR WILAYAH DJP JAKARTA SELATAN I,75,11325,3667,677,28,34,9832576979,103.42,138.23,25.3,879,1112,460
66,KPP Pratama Jakarta Pesanggrahan,KANTOR WILAYAH DJP JAKARTA SELATAN II,16,2266,33095,4635,11,33,9750432087,100.98,116.75,39.04,576,559,243
68,KPP Pratama Jakarta Jagakarsa,KANTOR WILAYAH DJP JAKARTA SELATAN II,32,2873,38597,2656,10,25,10085502715,104.02,131.71,29.52,1117,655,237
69,KPP Madya Dua Jakarta Selatan I,KANTOR WILAYAH DJP JAKARTA SELATAN I,2,1610,175,36,30,35,9911016224,100.0,105.23,39.09,578,386,415
71,KPP Pratama Jakarta Menteng Dua,KANTOR WILAYAH DJP JAKARTA PUSAT,38,4726,11808,2092,17,29,22948543473,85.32,117.92,292.62,399,295,302
72,KPP Pratama Jakarta Tanah Abang Dua,KANTOR WILAYAH DJP JAKARTA PUSAT,22,4408,12738,5251,17,31,11529531571,103.54,129.33,104.36,2027,1415,304
73,KPP Madya Jakarta Pusat,KANTOR WILAYAH DJP JAKARTA PUSAT,1,2567,94,44,40,40,9625494606,99.14,118.87,43.33,1023,661,706
75,KPP Pratama Jakarta Sawah Besar Dua,KANTOR WILAYAH DJP JAKARTA PUSAT,53,1912,8714,3768,14,26,11288833565,104.47,151.98,135.52,1082,811,277
76,KPP Pratama Jakarta Menteng Tiga,KANTOR WILAYAH DJP JAKARTA PUSAT,9,2722,1565,467,14,26,7387569007,108.11,134.79,148.59,1094,710,191
